bairro,tipologia,n_anuncios_airbnb_total,n_com_dado_preco,n_dado_insuficiente_receita,n_receita_valida,elegivel_amostra_min_15,preco_noite_mediano_R$,receita_anual_mediana_estimada_R$,n_anuncios_vivareal_venda_dedup,preco_venda_mediano_vivareal_R$,yield_bruto_pct,condo_mensal_mediano_R$,iptu_anual_mediano_R$,yield_liquido_pct
Morretes,2 quartos,272,59,1,58,True,450.00,18333.33,914.00,790000.00,2.32,350.00,760.00,1.69
Meia Praia,2 quartos,762,190,1,189,True,451.00,14000.00,234.00,1099520.00,1.27,500.00,975.00,0.64
Meia Praia,1 quarto,215,32,0,32,True,345.00,8241.82,50.00,850000.00,0.97,715.00,1000.00,-0.16
Meia Praia,3 quartos,1507,332,0,332,True,685.00,17579.82,1668.00,1887400.00,0.93,646.00,1550.00,0.44
Centro,2 quartos,205,67,3,64,True,557.00,10396.41,84.00,1195000.00,0.87,500.00,1000.00,0.28
Centro,1 quarto,165,82,8,74,True,433.50,6382.47,21.00,890000.00,0.72,500.00,1000.00,-0.07
Meia Praia,4+ quartos,339,67,2,65,True,1100.00,24966.51,1392.00,3700000.00,0.67,951.00,3000.00,0.29
Centro,3 quartos,239,47,4,43,True,790.00,13500.00,432.00,2100000.00,0.64,680.00,1500.00,0.18
Centro,4+ quartos,45,9,1,8,False,900.00,58103.50,,,,,,
Varzea,4+ quartos,1,1,0,1,False,2000.00,52363.64,,,,,,
Canto da Praia,1 quarto,7,1,0,1,False,793.00,51773.49,,,,,,
Canto da Praia,4+ quartos,4,1,0,1,False,3900.00,50005.48,,,,,,
Alto Sao Bento,4+ quartos,1,1,0,1,False,2500.00,44262.30,,,,,,
Sertao do Trombudo,1 quarto,7,2,0,2,False,380.00,42589.57,,,,,,
none,1 quarto,4,3,0,3,False,709.00,42480.00,,,,,,
Sertao do Trombudo,4+ quartos,2,1,0,1,False,1300.00,36912.68,,,,,,
Morretes,3 quartos,88,11,0,11,False,620.00,36309.60,,,,,,
Tabuleiro dos Oliveiras,3 quartos,21,4,0,4,False,640.00,36185.28,,,,,,
Sertaozinho,1 quarto,9,2,0,2,False,274.50,36041.14,,,,,,
Tabuleiro dos Oliveiras,4+ quartos,4,3,1,2,False,1350.00,34456.10,,,,,,
Varzea,3 quartos,14,1,0,1,False,700.00,32760.00,,,,,,
Morretes,4+ quartos,25,5,0,5,False,1000.00,29520.00,,,,,,
Casa Branca,3 quartos,11,2,0,2,False,403.00,28559.28,,,,,,
Sertaozinho,2 quartos,4,1,0,1,False,500.00,25859.15,,,,,,
Varzea,1 quarto,14,3,0,3,False,185.00,24420.00,,,,,,
Ilhota,3 quartos,14,3,0,3,False,500.00,20065.57,,,,,,
Ilhota,4+ quartos,6,1,0,1,False,974.33,18707.20,,,,,,
Canto da Praia,2 quartos,9,4,0,4,False,509.00,17241.73,,,,,,
Morretes,1 quarto,49,7,0,7,False,350.00,17062.50,,,,,,
Tabuleiro dos Oliveiras,2 quartos,84,12,0,12,False,440.88,16936.00,,,,,,
Meia Praia,studio (0q),34,8,0,8,False,435.00,15625.71,,,,,,
Canto da Praia,3 quartos,8,3,0,3,False,600.00,15120.00,,,,,,
Ilhota,1 quarto,19,2,0,2,False,345.50,14010.86,,,,,,
Areal,1 quarto,3,1,0,1,False,556.00,13781.51,,,,,,
Ilhota,2 quartos,16,4,0,4,False,467.50,13433.72,,,,,,
Sertaozinho,3 quartos,4,1,0,1,False,500.00,13200.00,,,,,,
Alto Sao Bento,1 quarto,15,3,0,3,False,280.00,11732.21,,,,,,
Jardim Praiamar,1 quarto,2,1,0,1,False,200.00,10980.00,,,,,,
Casa Branca,2 quartos,59,11,0,11,False,350.00,10164.71,,,,,,
Leopoldo Zarling,1 quarto,6,1,0,1,False,200.00,8400.00,,,,,,
Alto Sao Bento,2 quartos,35,1,0,1,False,199.00,6869.59,,,,,,
Sertaozinho,4+ quartos,2,2,0,2,False,2575.62,6356.02,,,,,,
Casa Branca,1 quarto,16,2,0,2,False,274.50,5494.35,,,,,,
Tabuleiro dos Oliveiras,1 quarto,17,1,0,1,False,100.00,1903.45,,,,,,
Alto Sao Bento,3 quartos,9,0,0,0,False,,,,,,,,
Alto Sao Bento,studio (0q),2,0,0,0,False,,,,,,,,
Areal,3 quartos,2,0,0,0,False,,,,,,,,
Casa Branca,studio (0q),2,0,0,0,False,,,,,,,,
Centro,studio (0q),3,0,0,0,False,,,,,,,,
Ilhota,studio (0q),1,0,0,0,False,,,,,,,,
Jardim Praiamar,2 quartos,3,0,0,0,False,,,,,,,,
Lameiro,2 quartos,1,0,0,0,False,,,,,,,,
Leopoldo Zarling,2 quartos,9,0,0,0,False,,,,,,,,
Leopoldo Zarling,3 quartos,1,0,0,0,False,,,,,,,,
Leopoldo Zarling,4+ quartos,1,0,0,0,False,,,,,,,,
Leopoldo Zarling,studio (0q),1,0,0,0,False,,,,,,,,
Morretes,studio (0q),6,0,0,0,False,,,,,,,,
Sertao do Trombudo,2 quartos,8,0,0,0,False,,,,,,,,
Sertao do Trombudo,3 quartos,4,0,0,0,False,,,,,,,,
Sertao do Trombudo,studio (0q),1,0,0,0,False,,,,,,,,
Sertaozinho,studio (0q),2,0,0,0,False,,,,,,,,
Tabuleiro dos Oliveiras,studio (0q),3,0,0,0,False,,,,,,,,
Varzea,2 quartos,13,0,0,0,False,,,,,,,,
Varzea,studio (0q),1,0,0,0,False,,,,,,,,
none,4+ quartos,1,0,0,0,False,,,,,,,,
